rBRIEF random
1 1
0.985293 0.979397
0.989415 0.969905
0.989125 0.948864
0.974051 0.941373
0.962468 0.929555
0.976276 0.905286
0.958689 0.884297
0.937438 0.883987
0.91582 0.861108
0.929833 0.800195
0.901986 0.852632
0.897869 0.830708
0.878379 0.806994
0.914595 0.736267
0.865146 0.757616
0.899626 0.75227
0.863106 0.737826
0.855402 0.66662
0.917054 0.75443
0.826752 0.681997
0.831797 0.703855
0.880714 0.709295
0.89787 0.697789
0.921993 0.752108
0.919348 0.774792
0.94419 0.762883
0.954131 0.86886
0.957769 0.877585
0.984169 0.91491
0.993574 0.931125
0.981873 0.909991
0.966985 0.895152
0.959933 0.891725
0.953285 0.820206
0.919318 0.789935
0.908198 0.745999
0.891357 0.745406
0.89951 0.71713
0.879701 0.731217
0.775276 0.703409
0.828781 0.728538
0.867438 0.652381
0.856298 0.741192
0.85043 0.725559
0.866115 0.685432
0.899075 0.714314
0.909459 0.782466
0.888856 0.834391
0.916313 0.859081
0.918945 0.800221
0.940141 0.870331
0.915927 0.872235
0.941046 0.879438
0.971451 0.902204
0.95979 0.932834
0.962173 0.927389
0.983815 0.951403
0.989825 0.958551
0.987896 0.97956
0.999824 0.998702
0.983693 0.97758
0.987599 0.971199
0.987288 0.946911
0.974751 0.937306
0.962831 0.931708
0.97297 0.901864
0.959197 0.882665
0.935392 0.88451
0.915327 0.853266
0.926493 0.79059
0.899731 0.858729
0.89836 0.826974
0.885017 0.814858
0.919353 0.734778
0.859689 0.765982
0.895253 0.74465
0.871954 0.748859
0.849117 0.674041
0.91402 0.742188
0.819737 0.677835
0.821054 0.695769
0.873711 0.719432
0.872353 0.68609
0.910626 0.733399
0.924634 0.773065
0.941426 0.760051
0.953214 0.858686
0.958797 0.872317
0.981232 0.908683
0.993915 0.935323
0.981426 0.910893
0.966614 0.896191
0.96411 0.873361
0.94185 0.798559
0.924434 0.778051
0.908886 0.743243
0.88409 0.742151
0.916154 0.721614
0.874243 0.730796
0.797674 0.704336
0.823405 0.741678
0.869104 0.662248
0.850415 0.722184
0.850611 0.729918
0.858408 0.699023
0.894869 0.70749
0.921931 0.788049
0.888376 0.827661
0.918645 0.855821
0.923284 0.800067
0.944439 0.87913
0.917552 0.872765
0.942983 0.877936
0.974938 0.903172
0.95551 0.928992
0.965439 0.930996
0.979951 0.950831
0.989659 0.959586
0.987873 0.981058
